,역사_ID,역사명,호선,위도,경도,주소
185,3209,아시아드경기장(공촌사거리),인천2호선,37.5517,126.677122,"서곶로, 심곡동, 연희동, 서구, 인천광역시, 22713, 대한민국"
186,3208,검바위,인천2호선,37.561405,126.677566,"서곶로, 검암동, 검암경서동, 서구, 인천광역시, 22698, 대한민국"
187,3207,검암,인천2호선,37.56866,126.675687,"검암, 검바위로, 검암동, 검암경서동, 서구, 인천광역시, 22696, 대한민국"
188,3206,독정,인천2호선,37.585212,126.675844,"검단마트약국, 754, 서곶로, 독가촌, 당하동, 서구, 인천광역시, 22686, 대한민국"
189,3205,완정,인천2호선,37.592928,126.673203,"완정역 4번출구, 서곶로, 마전동, 당하동, 서구, 인천광역시, 22677, 대한민국"
190,3204,마전,인천2호선,37.597566,126.666998,"영남탑스빌웰빙타운, 70, 완정로, 당하동, 서구, 인천광역시, 22640, 대한민국"
191,3203,검단사거리,인천2호선,37.60185,126.657108,"뷰비스타운, 474, 검단로, 오류왕길동, 서구, 인천광역시, 22636, 대한민국"
192,3202,왕길,인천2호선,37.59518,126.642696,"검단로, 오류동, 오류왕길동, 서구, 인천광역시, 22652, 대한민국"
193,3201,검단오류(검단산업단지),인천2호선,37.594877,126.627178,"검단로, 오류동, 오류왕길동, 서구, 인천광역시, 22652, 대한민국"
194,3139,송도달빛축제공원,인천1호선,37.407143,126.62597,"9, 송도2동, 연수구, 인천광역시, 22020, 대한민국"
195,3138,국제업무지구,인천1호선,37.399907,126.630347,"국제업무지구, 지하334, 인천타워대로, 송도4동, 연수구, 인천광역시, 22007, 대한민국"
196,3137,센트럴파크,인천1호선,37.393054,126.634729,"포스코건설 송도사옥, 241, 인천타워대로, 송도4동, 연수구, 인천광역시, 22006, 대한민국"
197,3136,인천대입구,인천1호선,37.386007,126.639484,"인천대입구, 컨벤시아대로, 송도4동, 연수구, 인천광역시, 22009, 대한민국"
198,3135,지식정보단지,인천1호선,37.378384,126.645168,"인천타워대로, 송도동, 송도1동, 연수구, 인천광역시, 21990, 대한민국"
